[object Object]93.708/n10.053
10.575
12.535
10.136
15.771
13.984
1560321353537 - 11.362
23:51:32 - unknownms
23:51:33 - unknownms
23:51:34 - unknownms
23:51:34 - unknownms
23:51:35 - unknownms
23:51:35 - unknownms
23:51:36 - unknownms
23:51:37 - 11.484ms
23:51:38 - 15.342ms
23:51:39 - 16.049ms
23:51:40 - 10.522ms
23:51:41 - 8.606ms
23:51:42 - 9.47ms
23:51:43 - 10.235ms
23:51:44 - 10.321ms
23:51:45 - 9.743ms
23:51:47 - 11.777ms
23:51:48 - 15.408ms
23:51:49 - 10.564ms
23:51:50 - 9.618ms
23:51:51 - 15.482ms
23:51:52 - 15.074ms
23:51:53 - 34.011ms
23:51:54 - 11.461ms
23:51:55 - 29.803ms
23:51:56 - 28.952ms
23:51:57 - 132.655ms
23:51:58 - 146.341ms
23:51:59 - 14.598ms
23:52:00 - 53.472ms
23:52:01 - 32.603ms
23:52:02 - 29.432ms
23:52:03 - 102.461ms
23:52:04 - 162.352ms
23:52:06 - 34.747ms
23:52:07 - unknownms
23:52:07 - 57.711ms
23:52:08 - 12.687ms
23:52:09 - 13.036ms
23:52:10 - 9.07ms
23:52:11 - 30.239ms
23:52:12 - 9.459ms
23:52:13 - 9.995ms
23:52:14 - 14.297ms
23:52:15 - 18.129ms
23:52:16 - 10.177ms
23:52:17 - 12.71ms
23:52:18 - 11.502ms
23:52:19 - 11.101ms
23:52:20 - 9.18ms
23:52:21 - 16.834ms
23:52:22 - 10.474ms
23:52:23 - 15.963ms
23:52:24 - 10.242ms
23:52:25 - 17.211ms
23:52:26 - 9.245ms
23:52:27 - 14.121ms
23:52:28 - 15.354ms
23:52:29 - 10.672ms
23:52:30 - 10.453ms
23:52:31 - 13.006ms
23:52:32 - 15.698ms
23:52:33 - 9.966ms
23:52:34 - 13.52ms
23:52:35 - 18.917ms
23:52:36 - 15.967ms
23:52:37 - 15.114ms
23:52:38 - 11.036ms
23:52:39 - 9.201ms
23:52:40 - 11.425ms
23:52:41 - 14.801ms
23:52:42 - 10.288ms
23:52:43 - 27.749ms
23:52:44 - 17.798ms
23:52:45 - 15.787ms
23:52:46 - 64.876ms
23:52:47 - 10.965ms
23:52:48 - 10.352ms
23:52:49 - 11.076ms
23:52:50 - 10.265ms
23:52:51 - 12.589ms
23:52:52 - 12.272ms
23:52:53 - 73.777ms
23:52:54 - 19.123ms
23:52:55 - 55.4ms
23:52:56 - 47.911ms
23:52:57 - 44.376ms
23:52:59 - 534.518ms
23:52:59 - 71.564ms
23:53:01 - 486.446ms
23:53:02 - 530.754ms
23:53:02 - 130.748ms
23:53:03 - 64.552ms
23:53:04 - 12.396ms
23:53:05 - 20.284ms
23:53:06 - 9.343ms
23:53:07 - 11.745ms
23:53:08 - 10.114ms
23:53:09 - 25.181ms
23:53:10 - 24.974ms
23:53:11 - 23.703ms
23:53:12 - 33.175ms
23:53:13 - 19.412ms
23:53:14 - 8.969ms
23:53:15 - 10.203ms
23:53:16 - 9.051ms
23:53:17 - 10.435ms
23:53:18 - 17.184ms
23:53:19 - 17.078ms
23:53:20 - 9.797ms
23:53:21 - 17.738ms
23:53:22 - 15.876ms
23:53:23 - 20.638ms
23:53:24 - 11.056ms
23:53:25 - 13.369ms
23:53:26 - 11.166ms
23:53:27 - 10.143ms
23:53:28 - 14.249ms
23:53:29 - 11.359ms
23:53:30 - 17.781ms
23:53:31 - 17.133ms
23:53:32 - 12.77ms
23:53:33 - 20.606ms
23:53:34 - 9.207ms
23:53:35 - 14.294ms
23:53:36 - 13.171ms
23:53:37 - 10.157ms
23:53:38 - 10.261ms
23:53:39 - 12.849ms
23:53:40 - 10.628ms
23:53:41 - 18.638ms
23:53:42 - 17.656ms
23:53:43 - 17.052ms
23:53:44 - 11.424ms
23:53:45 - 16.356ms
23:53:47 - 17.891ms
23:53:47 - 10.304ms
23:53:48 - 9.001ms
23:53:49 - 8.826ms
23:53:50 - 15.3ms
23:53:51 - 16.011ms
23:53:52 - 14.854ms
23:53:54 - 60.475ms
23:53:54 - 26.388ms
23:53:56 - 51.027ms
23:53:57 - 94.557ms
23:53:58 - 45.95ms
23:53:59 - 95.475ms
23:54:00 - 68.96ms
23:54:01 - 96.402ms
23:54:02 - 99.892ms
23:54:03 - 59.572ms
23:54:04 - 24.492ms
23:54:05 - 9.508ms
23:54:06 - 24.883ms
23:54:07 - 25.349ms
23:54:08 - 11.159ms
23:54:09 - 10.256ms
23:54:10 - 11.788ms
23:54:11 - 28.927ms
23:54:12 - 19.061ms
23:54:13 - 9.904ms
23:54:14 - 10.273ms
23:54:15 - 9.421ms
23:54:16 - 10.086ms
23:54:17 - 18.969ms
23:54:18 - 11.086ms
23:54:19 - 16.134ms
23:54:20 - 10.612ms
23:54:21 - 9.884ms
23:54:22 - 17.292ms
23:54:23 - 17.394ms
23:54:24 - 38.64ms
23:54:25 - 10.298ms
23:54:26 - 15.272ms
23:54:27 - 22.597ms
23:54:28 - 10.643ms
23:54:29 - 18.582ms
23:54:30 - 9.566ms
23:54:31 - 11.542ms
23:54:32 - 16.167ms
23:54:33 - 19.353ms
23:54:34 - 16.833ms
23:54:35 - 11.843ms
23:54:36 - 15.712ms
23:54:37 - 20.442ms
23:54:38 - 20.636ms
23:54:39 - 16.545ms
23:54:40 - 10.663ms
23:54:41 - 16.872ms
23:54:42 - 73.289ms
23:54:43 - 16.229ms
23:54:44 - 9.864ms
23:54:45 - 10.246ms
23:54:46 - 19.568ms
23:54:47 - 13.469ms
23:54:48 - 18.614ms
23:54:49 - 17.933ms
23:54:50 - 13.797ms
23:54:51 - 11.024ms
23:54:52 - 15.477ms
23:54:53 - 9.903ms
23:54:54 - 125.835ms
23:54:55 - 17.839ms
23:54:56 - 42.135ms
23:54:57 - 158.21ms
23:54:58 - 18.136ms
23:54:59 - 157.242ms
23:55:00 - 84.19ms
23:55:01 - 145.421ms
23:55:02 - 154.6ms
23:55:03 - 228.298ms
23:55:04 - 9.178ms
23:55:05 - 31.034ms
23:55:06 - 13.577ms
23:55:07 - 19.029ms
23:55:08 - 10.629ms
23:55:09 - 19.211ms
23:55:10 - 27.884ms
23:55:11 - 10.941ms
23:55:12 - 14.729ms
23:55:13 - 24.123ms
23:55:14 - 22.021ms
23:55:15 - 8.747ms
23:55:16 - 10.246ms
23:55:17 - 16.699ms
23:55:18 - 15.374ms
23:55:19 - 9.615ms
23:55:20 - 10.119ms
23:55:21 - 23.336ms
23:55:22 - 10.348ms
23:55:23 - 10.147ms
23:55:24 - 13.699ms
23:55:25 - 9.93ms
23:55:26 - 10.161ms
23:55:27 - 12.527ms
23:55:28 - 10.896ms
23:55:29 - 10.211ms
23:55:30 - 10.854ms
23:55:31 - 34.421ms
23:55:32 - 17.191ms
23:55:33 - 10.481ms
23:55:34 - 22.199ms
23:55:35 - 11.149ms
23:55:36 - 13.55ms
23:55:37 - 19.173ms
23:55:38 - 11.135ms
23:55:39 - 11.216ms
23:55:40 - 9.516ms
23:55:41 - 15.268ms
23:55:42 - 17.187ms
23:55:43 - 12.3ms
23:55:44 - 16.635ms
23:55:45 - 9.685ms
23:55:46 - 131.346ms
23:55:47 - 9.841ms
23:55:48 - 10.529ms
23:55:49 - 19.24ms
23:55:50 - 16.511ms
23:55:51 - 17.341ms
23:55:52 - 26.117ms
23:55:53 - 19.038ms
23:55:54 - 31.778ms
23:55:55 - 44.747ms
23:55:56 - 28.515ms
23:55:57 - 16.29ms
23:55:58 - 25.903ms
23:55:59 - 47.818ms
23:56:00 - 42.093ms
23:56:01 - 64.639ms
23:56:02 - 72.034ms
23:56:03 - 16.764ms
23:56:04 - 55.84ms
23:56:05 - 8.798ms
23:56:06 - 25.137ms
23:56:07 - 13.038ms
23:56:08 - 12.804ms
23:56:09 - 16.983ms
23:56:10 - 15.921ms
23:56:11 - 11.868ms
23:56:13 - 16.545ms
23:56:14 - 9.225ms
23:56:15 - 17.167ms
23:56:16 - 17.042ms
23:56:17 - 9.589ms
23:56:18 - 123.039ms
23:56:19 - 162.566ms
23:56:20 - 207.67ms
23:56:21 - 251.651ms
23:56:22 - 9.673ms
23:56:23 - 10.5ms
23:56:24 - 10.854ms
23:56:25 - 9.758ms
23:56:26 - 10.101ms
23:56:27 - 16.449ms
23:56:28 - 13.681ms
23:56:29 - 16.033ms
23:56:30 - 10.231ms
23:56:31 - 17.432ms
23:56:32 - 10.395ms
23:56:33 - 17.978ms
23:56:34 - 10.852ms
23:56:35 - 9.18ms
23:56:36 - 15.687ms
23:56:37 - 9.961ms
23:56:38 - 20.726ms
23:56:39 - 10.789ms
23:56:40 - 32.748ms
23:56:41 - 75.101ms
23:56:42 - 127.888ms
23:56:43 - 21.02ms
23:56:44 - 15.899ms
23:56:45 - 16.835ms
23:56:46 - 17.515ms
23:56:47 - 19.069ms
23:56:48 - 31.553ms
